LEAID,LEA_NAME,FTE_TEACHERS_FIN,TEACH_AMOUNT,AVG_TEACH_SALARY,Incomplete,SCHID,SCH_NAME,SCH_ADDRESS,SCH_CITY,SCH_STATE,SCH_ZIP 
1100051,HOPE COMMUNITY ACADEMY PCS,28,1427670,50988,,386,HOPE COMMUNITY PCS TOLSON CAMPUS,6200 KANSAS AVE NE,WASHINGTON,DC,20011
1100073,CENTER CITY PCS,22,1733083,78777,,395,CENTER CITY PETWORTH CAMPUS PCS,510 WEBSTER STREET NW,WASHINGTON,DC,20011
1100073,CENTER CITY PCS,26,1502324,57782,,400,CENTER CITY BRIGHTWOOD CAMPUS PCS,6008 GEORGIA AVENUE NW,WASHINGTON,DC,20011
1100019,WASHINGTON LATIN PCS,24,1316184,54841,,423,WASHINGTON LATIN PCS HIGH SCHOOL,4715 16TH ST NW,WASHINGTON,DC,20011
1100043,E.L. HAYNES PCS,57,3123149,54792,,433,E L  HAYNES PCS KANSAS AVENUE CAMPUS,4501 KANSAS AVENUE NW,WASHINGTON,DC,20011
Subtotal,,,," $1,702,434.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,26.25,2096039,79849,,11,TAKOMA EC,7010 PINEY BRANCH RD  NW,WASHINGTON,DC,20012
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,25.5,2022483,79313,,30,SHEPHERD ES,7800 14TH ST  NW,WASHINGTON,DC,20012
Subtotal,,,," $159,162.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,47,3876177,82472,,45,LAFAYETTE ES,5701 BROAD BRANCH RD  NW,WASHINGTON,DC,20015
Subtotal,,,," $82,472.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,21.5,1602809,74549,,35,MANN ES,4430 NEWARK ST NW,WASHINGTON,DC,20016
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,111.25,8487890,76296,,133,"WILSON, WOODROW HS",3950 CHESAPEAKE ST  NW,WASHINGTON,DC,20016
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,65.5,4632278,70722,,138,DEAL MS,3815 FORT DR NW,WASHINGTON,DC,20016
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,27,1999356,74050,,174,KEY ES,5001 DANA PL  NW,WASHINGTON,DC,20016
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,36,2687419,74651,,179,JANNEY ES,4130 ALBEMARLE ST  NW,WASHINGTON,DC,20016
Subtotal,,,," $370,268.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,29,2483189,85627,,111,BROOKLAND EC @ BUNKER HILL,1401 MICHIGAN AVE NE,WASHINGTON,DC,20017
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,16,1385970,86623,,198,LUKE C. MOORE HS,1001 MONROE ST NE,WASHINGTON,DC,20017
1100048,D.C. PREPARATORY ACADEMY PCS,30,1975872,65862,,277,D C  PREPARATORY EDGEWOOD MIDDLE CAMPUS PCS,701 EDGEWOOD STREET NE,WASHINGTON,DC,20017
1100051,HOPE COMMUNITY ACADEMY PCS,27,2162347,80087,,301,HOPE COMMUNITY PCS LAMOND CAMPUS,2917 8TH STREET NE,WASHINGTON,DC,20017
1100053,WILLIAM E. DOAR JR PCS,27.5,972127,35350,,303,WILLIAM E  DOAR JR WEDJ EDGEWOOD ELEMENTARY PCS,705 EDGEWOOD ST NE,WASHINGTON,DC,20017
1100060,POTOMAC LIGHTHOUSE PCS,18,1040866,57826,,310,POTOMAC LIGHTHOUSE PCS,1600 TAYLOR STREET NE,WASHINGTON,DC,20017
1100048,D.C. PREPARATORY ACADEMY PCS,33,1819060,55123,,388,D C  PREPARATORY EDGEWOOD ELEMENTARY CAMPUS PCS,707 EDGEWOOD ST NE,WASHINGTON,DC,20017
1100077,WASHINGTON YU YING PCS,23,1032398,44887,,411,WASHINGTON YU YING PCS,220 Taylor St. NE,WASHINGTON,DC,20017
1100053,WILLIAM E. DOAR JR PCS,5.67,336886,59416,,430,WILLIAM E  DOAR JR WEDJ EDGEWOOD MIDDLE AND UPPER,705 EDGEWOOD ST NE,WASHINGTON,DC,20017
Subtotal,,,," $570,801.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,27.5,2270070,82548,,44,LANGDON EC,1900 EVARTS ST  NE,WASHINGTON,DC,20018
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,27.05,2181603,80651,,107,BURROUGHS EC,1820 MONROE ST  NE,WASHINGTON,DC,20018
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,28.5,2222782,77992,,164,NOYES EC,2725 10TH ST  NE,WASHINGTON,DC,20018
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,10.5,849598,80914,,188,MARSHALL ES,3100 FORT LINCOLN DR NE,WASHINGTON,DC,20018
1100011,PERRY STREET PREPARATORY PCS (FORMERLY HYDE LPCS),71,5077796,71518,,225,PERRY STREET PREPARATORY PCS (FORMERLY HYDE LPCS),1800 Perry Street NE,WASHINGTON,DC,20018
1100008,FRIENDSHIP PCS,33,1831571,55502,,341,FRIENDSHIP PCS WOODRIDGE CAMPUS,2959 CARLTON AVENUE NE,WASHINGTON,DC,20018
Subtotal,,,," $449,125.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23,1426706,62031,,19,SOUSA MS,3650 Ely PL SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23.25,1722720,74095,,21,RON BROWN MS,4800 MEADE ST  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,11,734197,66745,,28,RIVER TERRACE ES,420 34TH ST  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,17.5,1439551,82260,,49,THOMAS ES,650 ANACOSTIA AVE NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,53,4271451,80593,,55,"WOODSON, H.D. HS",540 55th Street SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,15.49,1104315,71292,,64,SMOTHERS ES,4400 BROOKS ST  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,13.5,980267,72612,,97,DREW ES,5600 EADS ST NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,13.5,983662,72864,,99,DAVIS ES,4430 H ST  SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,31,2533383,81722,,106,BURRVILLE ES,801 DIVISION AVE  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,18.5,1582293,85529,,122,AITON ES,533 48TH PL NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,14.5,1252769,86398,,126,PLUMMER ES,4601 TEXAS AVE  SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23,1718589,74721,,163,NALLE ES,219 50TH ST  SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,21,1939260,92346,,173,KIMBALL ES,3375 MINNESOTA AVE  SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,13,1114879,85760,,181,HOUSTON ES,1100 50TH PL  NE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,14,990083,70720,,185,C.W. HARRIS ES,301 53RD ST SE,WASHINGTON,DC,20019
1100001,ARTS AND TECHNOLOGY PCS,49,3022162,61677,,215,ARTS AND TECHNOLOGY PCS,5300 BLAINE STREET NE,WASHINGTON,DC,20019
1100013,INTEGRATED DESIGN ELECTRONICS ACADEMY (IDEA),35,2464668,70419,,227,INTEGRATED DESIGN ELECTRONICS ACADEMY IDEA PCS,1027 45TH STREET NE,WASHINGTON,DC,20019
1100022,SEED PCS,45,4199957,93332,,236,SEED PCS,4300 C STREET SE,WASHINGTON,DC,20019
1100031,KIPP DC,31,1872475,60402,,246,KIPP DC KEY ACADEMY PCS,4801 BENNING ROAD SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,29,1873590,64607,,272,KELLY MILLER MS,301 49TH ST  NE,WASHINGTON,DC,20019
1100066,SEPTIMA CLARK PCS,23,1092613,47505,,318,SEPTIMA CLARK PCS,4625 G STREET SE,WASHINGTON,DC,20019
1100008,FRIENDSHIP PCS,70,4604751,65782,,338,FRIENDSHIP PCS WOODSON COLLEGIATE CAMPUS,4095 MINNESOTA AVENUE NE,WASHINGTON,DC,20019
1100031,KIPP DC,26,1451768,55837,,375,KIPP DC LEAP ACADEMY PCS,4801 BENNING ROAD SE,WASHINGTON,DC,20019
1100048,D.C. PREPARATORY ACADEMY PCS,30,1581532,52718,,387,D C  PREPARATORY BENNING CAMPUS PCS,100 41ST STREET NE,WASHINGTON,DC,20019
1100014,MAYA ANGELOU PCS,33,1785161,54096,,391,MAYA ANGELOU   EVANS CAMPUS PCS,5600 EAST CAPITOL STREET NE,WASHINGTON,DC,20019
1100014,MAYA ANGELOU PCS,23,1189739,51728,,392,MAYA ANGELOU   MIDDLE CAMPUS PCS,5600 EAST CAPITOL STREET NE,WASHINGTON,DC,20019
1100031,KIPP DC,25,1374890,54996,,419,KIPP DC PROMISE PCS,4801 BENNING ROAD SE,WASHINGTON,DC,20019
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,11.5,992633,86316,,99995,KENILWORTH ES,1300 44TH ST NE,WASHINGTON,DC,20019
Subtotal,,,," $1,979,103.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,24,2042186,85091,,2,MOTEN ES AT WILKINSON,2330 POMEROY RD SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,22,1386595,63027,,13,STANTON ES,2701 NAYLOR RD  SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23,2099939,91302,,25,SAVOY ES,2400 SHANNON PL SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,24,1748403,72850,,29,RANDLE HIGHLANDS ES,1650 30TH ST  SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23,1793207,77966,,61,WINSTON EC,3100 ERIE ST  SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,58,3797923,65481,,85,ANACOSTIA SHS,1601 16TH ST  SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,34.5,2735022,79276,,118,BEERS ES,3600 ALABAMA AVE  SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,19.25,1311906,68151,,143,KRAMER MS,1700 Q ST  SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,22,1774500,80659,,144,"JOHNSON, JOHN HAYDEN MS",1400 BRUCE PL SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,24,1748408,72850,,161,ORR ES,2200 MINNESOTA AVE  SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,17,1299092,76417,,165,GARFIELD ES,2435 ALABAMA AVE  SE,WASHINGTON,DC,20020
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,19,1372096,72216,,176,KETCHAM ES,1919 15TH ST  SE,WASHINGTON,DC,20020
1100029,HOWARD ROAD ACADEMY PCS,31,1824050,58840,,245,HOWARD ROAD ACADEMY PCS   MAIN CAMPUS,701 HOWARD ROAD SE,WASHINGTON,DC,20020
1100034,THURGOOD MARSHALL ACADEMY PCS,30.5,1717000,56295,,249,THURGOOD MARSHALL ACADEMY PCS,2427 MARTIN LUTHER K JR AV SE,WASHINGTON,DC,20020
1100031,KIPP DC,24,1541219,64217,,381,KIPP DC AIM PCS ACADEMY PCS,2600 DOUGLASS ROAD SE,WASHINGTON,DC,20020
1100029,HOWARD ROAD ACADEMY PCS,11,526071,47825,,389,HOWARD ROAD ACADEMY PCS PENNSYLVANIA AVENUE,3000 PENNSYLVANIA AV SE,WASHINGTON,DC,20020
1100031,KIPP DC,25,1646315,65853,,421,KIPP DC COLLEGE PREP PCS,2600 DOUGLASS ROAD SE,WASHINGTON,DC,20020
1100029,HOWARD ROAD ACADEMY PCS,7.8,370088,47447,,425,HOWARD ROAD ACADEMY PCS MLK CAMPUS,2405 ML KING AVE SE,WASHINGTON,DC,20020
1100031,KIPP DC,26,1384730,53259,,427,KIPP DC DISCOVER PCS,2600 DOUGLASS ROAD SE,WASHINGTON,DC,20020
1100054,APPLETREE EARLY LEARNING PCS,5,274134,54827,,99998,APPLETREE EARLY LEARNING PCS PARKLANDS,2011 SAVANNAH STREET SE,WASHINGTON,DC,20020
1100031,KIPP DC,10,548593,54859,,99999,KIPP DC HEIGHTS ACADEMY,2600 DOUGLASS ROAD SE,WASHINGTON,DC,20020
1100054,APPLETREE EARLY LEARNING PCS,5,242649,48530,,99999,APPLETREE EARLY LEARNING PCS DOUGLAS KNOLL,2017 SAVANNAH TERRACE SE,WASHINGTON,DC,20020
Subtotal,,,," $1,457,238.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,17.05,1254579,73582,,121,AMIDON-BOWEN ES,401 EYE ST SW,WASHINGTON,DC,20024
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,18.5,1458243,78824,,145,JEFFERSON MS,801 7TH ST  SW,WASHINGTON,DC,20024
1100054,APPLETREE EARLY LEARNING PCS,3,140320,46773,,304,APPLETREE EARLY LEARNING PCS RIVERSIDE,680 I STREET SW,WASHINGTON,DC,20024
1100054,APPLETREE EARLY LEARNING PCS,3,143421,47807,,413,APPLETREE EARLY LEARNING PCS AMIDON,401 I STREET SW,WASHINGTON,DC,20024
Subtotal,,,," $246,986.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,19,1750380,92125,,10,M.C. TERRELL ES,3301 WHEELER RD SE,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,16.5,1150584,69732,,36,MALCOLM X ES,1351 ALABAMA AVE SE,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,28,2185209,78043,,41,LECKIE ES,4201 M L  KING AVE  SW,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,21,1533393,73019,,54,SIMON ES,401 MISSISSIPPI AVE  SE,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,19,1602227,84328,,69,FEREBEE-HOPE ES,3999 8TH ST SE,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,19,1590025,83686,,73,TURNER ES AT GREEN,1500 MISSISSIPPI AVE  SE,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,95.5,6140558,64299,,84,BALLOU SHS,3401 4TH ST  SE,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,21,1804976,85951,,102,"KING, M.L. ES",3200 6TH ST SE,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,34,2305604,67812,,135,HART MS,601 MISSISSIPPI AVE  SE,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,25,2063695,82548,,158,PATTERSON ES,4399 SOUTH CAPITOL TERR  SW,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,22,1927261,87603,,182,HENDLEY ES,425 CHESAPEAKE ST  SE,WASHINGTON,DC,20032
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,15,1065018,71001,,207,BALLOU STAY,3401 4TH ST SE,WASHINGTON,DC,20032
1100057,EARLY CHILDHOOD ACADEMY PCS,6,336264,56044,,307,EARLY CHILDHOOD ACADEMY PCS,4301 9TH STREET SE,WASHINGTON,DC,20032
1100008,FRIENDSHIP PCS,33,1935492,58651,,382,FRIENDSHIP PCS SOUTHEAST ACADEMY,"645 Milwaukee Place, SE",WASHINGTON,DC,20032
1100072,ACHIEVEMENT PREPARATORY ACADEMY PCS,19,1276531,67186,,405,ACHIEVEMENT PREPARATORY ACADEMY PCS,908 WAHLER PL  SE,WASHINGTON,DC,20032
1100076,EXCEL ACADEMY PCS,44,2434756,55335,,408,EXCEL ACADEMY PCS,3845 S CAPITOL STREET SW,WASHINGTON,DC,20032
1100073,CENTER CITY PCS,24,1434718,59780,,412,CENTER CITY CONGRESS HEIGHTS CAMPUS PCS,220 HIGH VIEW PLACE SE,WASHINGTON,DC,20032
1100008,FRIENDSHIP PCS,27,1651123,61153,,422,FRIENDSHIP PCS TECH PREP,620 MILWAUKEE PLACE SE,WASHINGTON,DC,20032
1100079,NATIONAL COLLEGIATE PREP,22,1213528,55160,,424,NATIONAL COLLEGIATE ACADEMY,908 WAHLER PLACE SE,WASHINGTON,DC,20032
1100057,EARLY CHILDHOOD ACADEMY PCS,7,392308,56044,,431,EARLY CHILDHOOD ACADEMY PCS JOHENNING CAMPUS,4025 9TH STREET SE,WASHINGTON,DC,20032
Subtotal,,,," $1,409,500.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,34,2825356,83099,,131,SCHOOL WITHOUT WALLS SHS,2130 G ST NW,WASHINGTON,DC,20037
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,20,1736501,86825,,149,FRANCIS-STEVENS EC,2425 N ST NW,WASHINGTON,DC,20037
Subtotal,,,," $169,924.00 ",,,,,,,
,,,,,,,,,,,
1100058,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH & SCIENCE,22,1404192,63827,,308,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENC,405 HOWARD PLACE NW,WASHINGTON,DC,20059
Subtotal,,,," $63,827.00 ",,,,,,,
,,,,,,,,,,,
11DOJ02,DEPARTMENT OF YOUTH REHABILITATION SERVICES,15,720917,48061,,99999,DYRS SCHOOL AT NEW BEGINNINGS YOUTH DEV'T CENTER,8400 River Road,Laurel,MD,20724
Subtotal,,,," $48,061.00 ",,,,,,,
